tick,tick_diff,moving_avg,last_digit
114738.07,-35.556199999991804,114766.75050000001,7
114757.2346,19.16459999998915,114756.31026666665,6
114742.1623,-15.072299999999814,114745.8223,3
114732.6882,-9.474099999992177,114744.02836666668,2
114708.5425,-24.14570000000822,114727.79766666667,5
114714.0171,5.474600000001374,114718.41593333334,1
114733.5458,19.52870000000985,114718.7018,8
114757.6143,24.068499999993946,114735.05906666668,3
114722.99,-34.624299999995856,114738.05003333335,9
114707.1738,-15.816200000001118,114729.25936666667,8
114698.636,-8.537800000005518,114709.59993333333,6
114708.1824,9.546400000006543,114704.66406666666,4
114733.7135,25.531099999992875,114713.51063333334,5
114710.0461,-23.667399999991176,114717.31400000001,1
114724.9448,14.89869999999064,114722.90146666666,8
114727.3895,2.4447000000072876,114720.79346666667,5
114752.0325,24.64299999999639,114734.78893333334,5
114738.9478,-13.084700000006706,114739.45659999999,8
114716.9126,-22.03519999999844,114735.96429999999,6
114772.0875,55.17489999999816,114742.64929999999,5
114797.6906,25.603100000007544,114762.23023333332,6
114810.0425,12.351899999994203,114793.27353333333,5
114800.8501,-9.192399999999907,114802.86106666666,1
114827.596,26.745900000008987,114812.82953333335,6
114839.0197,11.423699999999371,114822.4886,7
114806.3798,-32.63990000000922,114824.33183333334,8
114755.4517,-50.92809999999008,114800.28373333334,7
114751.9421,-3.509600000004866,114771.25786666667,1
114761.588,9.645900000003166,114756.32726666667,8
114773.234,11.645999999993364,114762.2547,4
114741.0662,-32.16779999999562,114758.62940000002,2
114723.9783,-17.087899999998626,114746.09283333334,3
114710.2348,-13.743499999996857,114725.0931,8
114714.1212,3.886399999988498,114716.11143333332,2
114767.7579,53.63670000000275,114730.70463333333,9
