tick,tick_diff,moving_avg,last_digit
315.6472,0.07319999999998572,315.58459999999997,2
315.614,-0.0332000000000221,315.61173333333335,4
315.6725,0.058500000000037744,315.64456666666666,5
315.6108,-0.061700000000030286,315.63243333333327,8
315.6403,0.029500000000041382,315.6412,3
315.566,-0.07430000000005066,315.6057,6
315.5443,-0.02169999999995298,315.5835333333334,3
315.577,0.03269999999997708,315.56243333333333,7
315.5903,0.013300000000015189,315.57053333333334,3
315.5836,-0.006700000000023465,315.58363333333335,6
315.552,-0.031599999999968986,315.5753,2
315.5175,-0.034500000000036835,315.55103333333335,5
315.5592,0.04169999999999163,315.5429,2
315.534,-0.025199999999983902,315.5369,4
315.5815,0.04750000000001364,315.55823333333336,5
315.5073,-0.07420000000001892,315.5409333333333,3
315.4977,-0.009599999999977626,315.52883333333335,7
315.5075,0.009799999999984266,315.50416666666666,5
315.4662,-0.041299999999978354,315.4904666666667,2
315.5319,0.06569999999999254,315.5018666666667,9
315.5141,-0.017800000000022465,315.5040666666667,1
315.5075,-0.006599999999991724,315.51783333333333,5
315.5069,-0.0006000000000199179,315.5095,9
315.5558,0.048900000000003274,315.5234,8
315.5611,0.005300000000033833,315.5412666666667,1
315.5867,0.02559999999999718,315.5678666666667,7
315.5662,-0.02050000000002683,315.5713333333333,2
315.5291,-0.037099999999952615,315.5606666666667,1
315.5382,0.00909999999998945,315.54449999999997,2
315.5322,-0.006000000000028649,315.53316666666666,2
315.5295,-0.0027000000000043656,315.5333,5
315.4949,-0.03460000000001173,315.51886666666667,9
315.5027,0.0078000000000315595,315.5090333333333,7
315.5014,-0.0013000000000147338,315.49966666666666,4
315.5393,0.037900000000036016,315.5144666666667,3
